Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"JC 35331, 35331",Elvis Costello,This Year's Model,"Columbia, Columbia","LP, Album",,1978,4333658,Uncategorized,2015-05-23 15:41:01,,,
"JC 35709, 35709",Elvis Costello & The Attractions,Armed Forces,"Columbia, Columbia","LP, Album",,1979,1101077,Uncategorized,2015-05-23 15:50:32,,,
CRS 8009,Curtis Mayfield,Roots,Curtom,"LP, Album, Gat",,1971,5866390,Uncategorized,2015-02-18 19:45:13,,,
DL 74950,The Who,The Who Sell Out,Decca,"LP, Album",,1968,378286,Uncategorized,2015-01-31 18:38:49,,,
DXSW 7205,The Who,Tommy,Decca,"2xLP, Album",,1969,6577849,Uncategorized,2015-01-31 18:35:46,,,
BST-8019,The Ventures,Play Telstar. The Lonely Bull And Others,Dolton Records,"LP, Album",,1962,3095043,Uncategorized,2015-07-29 20:37:26,,,
DNO328,Hot Chip,In Our Heads,Domino,"LP, Lav + LP, Yel + Album, Club, RE",,2015,7112398,Uncategorized,2015-12-24 22:04:13,,,
DNO328,Hot Chip,In Our Heads,Domino,"LP, Lav + LP, Yel + Album, Club, RE",,2015,7112398,Uncategorized,2016-02-23 07:49:56,Mint (M),Near Mint (NM or M-),
WIGLP305,Cass McCombs,Big Wheel And Others,Domino,"2x12"", Album",,2013,5055158,Uncategorized,2015-02-18 20:02:02,,,
DNO296,Cass McCombs,Wit's End,Domino USA,"LP, Album",,2011,2870204,Uncategorized,2015-10-20 13:25:50,,,
DC095,Smog,The Doctor Came At Dawn,Drag City,"LP, Album",,1996,1142101,Uncategorized,2015-02-18 19:27:05,,,
DC332,Bill Callahan,Woke On A Whaleheart,Drag City,"LP, Album",,2007,956417,Uncategorized,2015-07-29 22:07:48,,,
DC553,Bill Callahan,Dream River,Drag City,"LP, Album",,2013,4908173,Uncategorized,2015-07-29 21:00:05,,,
R1-74013,Love,Forever Changes,"Elektra, Rhino Records (2), Rhino Vinyl","LP, Album, RE, 180",,2012,4104358,Uncategorized,2015-02-19 14:58:49,,,
SLEM-1146,Pink Floyd,Works (Trabajos),EMI,"LP, Comp",,1983,2162396,Uncategorized,2015-05-23 14:43:13,,,
"SHVL 804, 582 1361",Pink Floyd,The Dark Side Of The Moon,"EMI, Harvest, EMI","LP, Album, Ltd, RM, 180",,2003,457025,Uncategorized,2015-05-23 14:43:56,,,
86981-1,Refused,The Shape Of Punk To Come A Chimerical Bombination In 12 Bursts,Epitaph,"2xLP, RE, RM",,2010,3889206,Uncategorized,2015-02-19 14:50:01,,,
88697 62398 1,The Jimi Hendrix Experience,Electric Ladyland,"Experience Hendrix, Legacy","2xLP, Album, Ltd, Num, RE, RM, 180",,2010,2174598,Uncategorized,2015-05-23 14:53:37,,,
88765419691,The Jimi Hendrix Experience,Are You Experienced,"Experience Hendrix, Legacy","LP, Album, Ltd, Num, RE, Mono, 200",,2013,4360660,Uncategorized,2015-05-23 14:52:43,,,
FP1255-1,Youth Lagoon,The Year Of Hibernation,Fat Possum Records,"LP, Album, Club, RE, Blu",,2015,6559219,Uncategorized,2015-01-28 19:19:56,,,
FV327 ,Giant Sand,Return To Tucson,Fire Records,"LP, Album, Ltd",,2013,4422830,Uncategorized,2015-02-19 15:01:49,,,
"FA 2328, SFW40023",Big Bill Broonzy,Big Bill Broonzy Sings Folk Songs,"Folkways Records, Smithsonian Folkways Recordings","LP, Album, Club, RE",,2016,8067357,Uncategorized,2016-02-23 06:19:23,,,
B0004670-01,Common,Be,Geffen Records,"2xLP, Album",,2005,471196,Uncategorized,2015-02-05 17:54:30,,,
GPLP-007,Modest Mouse,This Is A Long Drive For Someone With Nothing To Think About,Glacial Pace,"2xLP, RE, 180",,2014,6205773,Uncategorized,2015-02-19 15:16:03,,,
314-539 189-1,Portishead,Portishead,"Go! Beat, London Records","2xLP, Album, RE",,0,6990667,Uncategorized,2015-07-01 15:00:08,,,
GREL2099,Capital Letters,Vinyard,Greensleeves Records,"LP, RE",,2015,7096293,Uncategorized,2015-10-19 20:43:04,,,
SHDW 403,Pink Floyd,A Nice Pair,Harvest,"2xLP, Comp, Pha",,1973,373513,Uncategorized,2015-01-28 19:31:09,,,
SKBB-388,Pink Floyd,Ummagumma,Harvest,"2xLP, Album, RE",,0,1039062,Uncategorized,2015-02-18 16:33:33,,,
"SHDW 411, 5099902988313",Pink Floyd,The Wall,"Harvest, Capitol Records","2xLP, Album, RE, RM, 180",,2012,3445720,Uncategorized,2015-05-23 14:46:45,,,
"B0018759-01, GET56021-LP",The Upsetters,Super Ape,"Island Records, Get On Down, Universal Music Special Markets","LP, Club, RE, Gre",,2015,7236757,Uncategorized,2015-12-24 22:01:36,,,
B0021047-01,Johnny Cash,The Legend Of Johnny Cash,"Island Records, UMe, American Recordings, Columbia, Legacy","2xLP, Comp, 180",,2014,6094344,Uncategorized,2015-02-18 19:54:26,,,
01241-41418-1,A Tribe Called Quest,The Low End Theory,Jive,"2xLP, Album, RE",,1996,4357136,Uncategorized,2015-07-29 21:05:10,,,
KRANK 035,Low,Secret Name,Kranky,"2xLP, Album",,1999,717923,Uncategorized,2015-02-19 15:11:51,,,
B0021137-01,Spoon,They Want My Soul,Loma Vista,"LP, Album, 180",,2014,6268720,Uncategorized,2015-02-19 15:05:15,,,
2PS 606/7,The Rolling Stones,Hot Rocks 1964-1971,London Records,"2xLP, Comp",,1971,5430786,Uncategorized,2015-02-18 16:05:20,,,
OLE-945,Interpol,Interpol,Matador,"2x12"", Album, Ltd",,2010,2429562,Uncategorized,2015-02-18 16:48:03,,,
"OLE 1028-1, OLE-1028-1",Perfume Genius,Too Bright,"Matador, Matador","LP, Album, Club, Ltd, RE, Whi",,2014,6300695,Uncategorized,2015-02-18 19:51:18,,,
MCA-5408,The Who,Greatest Hits,MCA Records,"LP, Comp",,1983,3720504,Uncategorized,2015-01-31 18:16:54,,,
